section,metric,clustering,optimizer,better
Cost,Baseline LTL Cost ($),"$189,077.90","$189,077.90",—
Cost,Optimised Cost ($),"$71,034.17","$61,326.15",Optimizer
Cost,Total Savings ($),"$118,043.73","$127,751.75",Optimizer
Cost,Savings %,62.4%,67.6%,Optimizer
Cost,Optimizer Advantage ($),—,"$9,708.02",—
Load Split,TL Trucks Dispatched,22,13,Optimizer
Load Split,Shipments on TL,39,38,Clustering
Load Split,Shipments Staying LTL,1,2,Clustering
Load Split,TL Freight Cost ($),"$65,434.17","$57,044.95",—
Load Split,LTL Freight Cost ($),"$5,600.00","$4,281.20",—
Efficiency,Avg TL Utilisation (%),48.0%,80.7%,Optimizer
Efficiency,Max TL Utilisation (%),100.0%,100.0%,Clustering
Efficiency,Trucks >= 80% Full (%),22.7%,61.5%,Optimizer
Efficiency,Avg Stops per TL Truck,1.4,2.4,—
Efficiency,Avg Weight per Truck (lbs),"21,114","35,500",—
Efficiency,Best Single-Truck Savings ($),"$14,554.40","$14,554.40",Clustering
Efficiency,Avg Per-Truck Savings ($),"$5,365.62","$9,827.06",Optimizer
Method,Grouping Logic,Haversine + Bearing,US Region Partition,—
Method,Algorithm,AgglomerativeClustering,MILP (PuLP + CBC),—
Method,Optimality,Heuristic,Exact (per region),—
Method,Speed,<0.1s,~0.3s,—
